Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags;;;
2021-05-10 23:58:44,b'@liputan6dotcom Yg perlu di test ulang adl ketua KPK tak mampu nangkap Harun Masiku jg yg terlibat bansos',1391905576024645635,Wiyanto79954068,0,Twitter for Android,0,[];;;
"2021-05-10 23:58:20,""b'RT @veaadeeana: Banyak pengalihan...akhirnya betul2 teralihkan,\n*Proses hukum pembantaian 6 laskar FPI di km 50.\n*Persidangan ib Hrs dkk.\n*\xe2\x80\xa6'"",1391905474677673985,antaz345,147,Twitter for Android,1,[]";;;
2021-05-10 23:54:11,b'Pepen sempat menyebut bahwa pemotongan itu dilakukan atas inisiatif Adi Wahyono dan Matheus Joko Santoso. https://t.co/YaWwFPjKVn',1391904433450086403,kompascom,2,dlvr.it,0,[];;;
"2021-05-10 23:52:09,""b'RT @RestyCayaaah: Trik ngeles jika ketauan  @KPK_RI .\n\nKemensos Kelebihan Bayar Vendor Bansos Rp 74 M, Baru Kembali Rp 5 M https://t.co/2xp\xe2\x80\xa6'"",1391903918007881729,VSIglory,237,Twitter for Android,1,[]";;;
2021-05-10 23:51:58,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391903875028766722,azasi2,2733,Twitter for Android,1,[];;
2021-05-10 23:48:51,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391903090496794625,aezakmism,2733,Twitter for Android,1,[];;
"2021-05-10 23:48:41,""b'RT @marzukialie_MA: @KPK_RI Maaf, klo anda KPK apa gak malu ott yang ecek2 begini? Kasih kewenangan @KejaksaanRI utk menyadap, hasil pasti\xe2\x80\xa6'"",1391903047748517888,PoenGam,22,Twitter for Android,1,[]";;;
"2021-05-10 23:48:15,""b'Ternyata hukuman korupsi dana bansos ga main-main ya??\nKalo bisa lolos dari hukum di dunia, mereka tetep ga bisa lepas dari hukum Allah.\n\nAwal Ramadhan kena stroke, akhir  ramadhan dipanggil sama Allah.\nSemoga amal ibadahnya diterima dan semoga diampuni dosanya.'"",1391902937698377730,caturatkls,0,Twitter for Android,0,[]";;;
2021-05-10 23:48:07,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391902905490284553,abdulHC_,2733,Twitter for Android,1,[];;
2021-05-10 23:48:01,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391902879993057281,miharja_ozzy,2733,Twitter for Android,1,[];;
"2021-05-10 23:47:04,""b'RT @BudiSetyarso: Para penyidik yg membongkar kasus korupsi kakap spt e-KTP, simulator SIM, ekspor benur, jg bansos tak bs jd ASN krn tdk l\xe2\x80\xa6'"",1391902640947142656,al_jepp17,3382,Twitter for Android,1,[]";;;
"2021-05-10 23:46:17,""b'RT @merdekadotcom: Beres-Beres Data Ganda Bansos: """"21 juta itu basisnya apa? Itu yang belum tahu dan Bu Risma belum menyampaikan itu ke pub\xe2\x80\xa6'"",1391902444645359616,1hsan,6,Twitter for Android,1,[]";;;
2021-05-10 23:46:03,b'RT @asuhan_nemesis: Ngeri kali kelen woy. \n\nhttps://t.co/xlVxgiPH2k',1391902386860351490,perangutan_,4,Twitter for iPhone,1,[];;;
2021-05-10 23:45:43,b'Pasar rame bgt kek lagi pembagian bansos',1391902301409869826,mavlanaaa,0,Twitter for Android,0,[];;;
