Tanggal;Tweets;Sentiment;ID;Screen Name;Banyak Retweet;Source;Retweet Status;Hashtags;
12/05/2021 20:06;b'#BeraniJujurPecat\nMendukung pemecatan 75 anggota kpk, dan mengganti dengan personil baru yg lebih bersih berani dan tidak berpolitik, berani tangkap harun masiku dan madam bansos';1;1,39E+18;Awanzamrud;0;Twitter for Android;0;['BeraniJujurPecat'];
12/05/2021 01:56;b'#TangkapAnakPakLurah Korupsi Bansos https://t.co/UMBZhKCSgK https://t.co/7gD6ySBEVr';0;1,39E+18;sumantriom;0;Twitter Web App;0;['TangkapAnakPakLurah'];
12/05/2021 07:38;b'(22)Isi berita tentang PDIP sepanjang Januari 2021 tone-nya negatif semua. Harun Masiku. Korupsi Bansos. Penolakan vaksin oleh Rika Ciptaning. Sedang 7 berita untuk Gerindra tak lain RRI ikut ke Papua untuk meliput Yan P Mandenas, 19-25 Februari 2021.';0;1,39E+18;PortmanSunarsih;0;Twitter Web App;0;[];
12/05/2021 08:02;b'@03__nakula @Syarman59 Buzzerp bansos';0;1,39E+18;feri_ulakan;0;Twitter for Android;0;[];
12/05/2021 04:49;b'@4Y4NKZ Kenapa kalian tak hujat koruptor bansos,BLBI,jiwasraya,asabri,';0;1,39E+18;yusuf_abdillah_;0;Twitter for Android;0;[];
12/05/2021 14:48;b'@5194b Dampaknya terlalu, jadi harus terus melawan. Kelompok difabel dirugikan jika para penyidik yang berhasil mengungkap kasus korupsi Bansos, oleh Mensos saat itu, dinonaktifkan. Kelompok difabel perlu menyatakan sikap, kami di @PSHKIndonesia  siap bergabung.';0;1,39E+18;fnursyamsi;2;Twitter for Android;0;[];
12/05/2021 16:04;b'@abcdpcy_ Biasa ni kmarin lg sibuk ngurus bansos\n\nalhamdulillah, ni dia yg ditunggu tunggu dr tadi';0;1,39E+18;Vinsmik;0;Twitter for Android;0;[];
12/05/2021 04:08;b'@acciioo @ceohahahihi @ElgarLouee Maap ngab, bukan bebal. Tp bosan. Gak cuma satu kasus org meninggal non kopit, dikopitin, tambah lagi WNA masuk bawa virus baru, bansos dikorup hahaha.. Aku sndiri kmna2 jg ttep ikut prokes, tp klo dnger aturan jngan mudik, halooo pilkada kmaren kmna haha';0;1,39E+18;piyekiyu;2;Twitter for Android;0;[];
12/05/2021 11:44;b'@Achmad_Misrin80 @RamliRizal @KPK_RI @kompascom Yth. Pak @jokowi, rakyat mohon dg rendah hati agar Bpk minta penjelasan dr pemimpin KPK kaitan TWK dg pemberantasan korupsi. Di saat negara hrs fokus menangani pandemi &amp;0;;;;;;;
12/05/2021 12:39;b'@Adekke44 @mohmahfudmd Rakyat buzzer rp jelas Enak makan uang Bansos tpi enaknya di dunia ntar di akhirat Neraka Jahanam buat lu yee..Aamin';0;1,39E+18;nurwahidah_alz;0;Twitter for Android;0;[];
12/05/2021 07:38;b'@afrkml @TirtoID Ini relawan covid-19, Pak... Nyawa taruhannya, Pak. Kalo relawan bansos boleh2 aja suka2 hati, lagian tidak tiap hari dan tidak taruhan nyawa.... https://t.co/TbYDMjhGrF';0;1,39E+18;chandra_lucky;0;Twitter Web App;0;[];
12/05/2021 12:07;b'@agung57553525 @CNNIndonesia Mk nya gw tantang @KPK_RI ,bisa gk dlm sebulan kedepan OTT besar satu aja,tanpa 75 org terbaik yg mereka singkirkan,bisa gk dapet info yg mumpuni ttg masiku?Ingat kasus bansos,benur,gub sulsel dan yg besar lainnya ada kerja keras dr 75 org itu';0;1,39E+18;dezkoto2;1;Twitter for Android;0;[];
12/05/2021 05:50;b'@Ai41870479 @irahakbauw @kolang_keling @ngurahsaka tergantung cara dapatnya, kalau sayur sama ikan dibeli dari dana hasil korupsi bansos atau nipu ya sama aja haram juga dalam Islam';0;1,39E+18;cepheoid;0;Twitter for Android;0;[];
12/05/2021 17:27;b'@aik_arif @chandra_dewi29 Emang skr zamannya binatang acr takbiran di jaga pakai laras panjang mall di biarin berdesakan, KPK di lemahkan, BANSOS JIWASRAYA BPJS Di garong, TKA di biarkan masuk, org lebaran di suruh makan BIPANG. Ngak salah kalau Faisal basri bilang bangkrut Moral \xf0\x9f\x91\x8e\xf0\x9f\x8f\xbf';0;1,39E+18;mak_bento;0;Twitter for iPhone;0;[];
12/05/2021 05:26;b'@akusaas Tentu saja tidak ada SPJ nyaa, wong bayare nganggo duit Korupsi Bansos Covid \xf0\x9f\xa4\xa3';0;1,39E+18;alfin_AT;0;Twitter for Android;0;[];
12/05/2021 04:20;b'@aldinalsya balas dendam gegara bansos ini';0;1,39E+18;iswara_gandi;0;Twitter for Android;0;[];
12/05/2021 05:09;b'@AlissaWahid @GUSDURians Sudah lah, apa lagi yg diharapkan dari NKRI ini, bansos aja dikorup. Jatah wong cilik dikorup kader wong cilik, duitnya mengalir ke rekan separtai.\nKalau bansos aja dengan entengnya dikorup, bratti yg lain juga pasti lebih beringas.';0;1,39E+18;hutauruk_alex;3;Twitter Web App;0;[];
12/05/2021 21:30;b'@AlissaWahid Jangan jauh jauh mbak @AlissaWahid  BANSOS aja d koruppp.. hadeuuhhhhh';0;1,39E+18;Adehuda4;0;Twitter for Android;0;[];
12/05/2021 15:53;b'@alterloeybee Anggarannya kepake buat bansos';0;1,39E+18;Vinsmik;0;Twitter for Android;0;[];
12/05/2021 00:42;b'@AmeliaRieska03 Itu bknnya slh satu isi bansos #DKIJakarta y?';1;1,39E+18;SuestySSitungk6;0;Twitter for Android;0;['DKIJakarta'];
12/05/2021 03:29;b'@amira_suud @Ramadha67898570 saya juga kepikiran bgt \xf0\x9f\x98\x87\xf0\x9f\x98\x82\xf0\x9f\x99\x82\xf0\x9f\x99\x83. Ah sudahlah \xf0\x9f\x98\x89\xf0\x9f\x98\x8a\xf0\x9f\x98\x87... mungkin pak lurah &amp;0;;;;;;;
12/05/2021 21:58;b'@AmMuliadi @Corona_KafirNw @RachlanNashidik Korupsi lobster gk seberapa om,, koruptor bansos layak  di hukum mati';0;1,39E+18;AyamJuntay;0;Twitter for Android;0;[];
12/05/2021 08:20;b'@Amriarist_ @satyanugrahaaa Sengaja, sarden bansos ga seru';0;1,39E+18;abhyasa_evo;0;Twitter for Android;0;[];
12/05/2021 03:58;b'@anandabadudu Queenmaker-nya madam bansos lah, sapa lagii..';0;1,39E+18;Nando_gondez;0;Twitter for Android;0;[];
12/05/2021 08:27;b'@andihiyat #SamsungParsel cerita unik gw saat dapet parsel adalah jd ayah gw bawain parsel ke rumah tp dalem kardus gitu isinya minyak mie dll kaga dihias2 lah kek cuma kardus biasa, jatohnya malah kek bansos';0;1,39E+18;hyuckchanie;0;Twitter for iPhone;0;['SamsungParsel'];
12/05/2021 11:43;b'@andry19633 @RamliRizal Yth. Pak @jokowi, rakyat mohon dg rendah hati agar Bpk minta penjelasan dr pemimpin KPK kaitan TWK dg pemberantasan korupsi. Di saat negara hrs fokus menangani pandemi &amp;0;;;;;;;
