Tanggal;Tweets;Sentiment;ID;Screen Name;Banyak Retweet;Source;Retweet Status;Hashtags
09/05/2021 23:59;b'RT @Mdy_Asmara1701: Sila dimaknai sendiri \xf0\x9f\xa4\x94\n\nTernyata Pegawai KPK tak Lolos TKW Sedang Tangani Korupsi Bansos dan KKP yang Jerat 2 Menteri\xe2\x80\xa6';;1,39E+18;Prawitadisastra;703;Twitter for Android;1;[]
09/05/2021 23:59;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;
09/05/2021 23:58;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;
09/05/2021 23:58;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;
09/05/2021 23:58;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;
09/05/2021 23:58;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;
09/05/2021 23:58;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;
09/05/2021 23:58;b'@febridiansyah @msaid_didu Bagaimana dengan kasus yg lebih besar lagi, misalnya BLBI, Century, Jiwasraya, Asabri, dan mantan Sekjen MA. Apakah masih dilanjut? Nyaris tak terdengar belakangan ini kecuali bansos. Semoga ini tdk krn pandemi yg masih merajalela, dan nanti bila sdh mereda, reda pula beritanya..';0;1,39E+18;TedyMoel1;0;Twitter for Android;0;[]
09/05/2021 23:57;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;
09/05/2021 23:57;b'RT @taslemandra: Aliansi Sabtu\nNastaghfirullah..\n\nPenikmat hasil potongan bansos\nSeperti yang digambarkan pepatah Arab ini:\n\n\xd8\xad\xd8\xa7\xd9\x85\xd9\x8a\xd9\x87\xd8\xa7 \xd8\xad\xd8\xb1\xd8\xa7\xd9\x85\xd9\x8a\xd9\x87\xd8\xa7\xe2\x80\xa6';;1,39E+18;unkusurau;18;Twitter for Android;1;[]
09/05/2021 23:57;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;
09/05/2021 23:57;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;
09/05/2021 23:57;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;
09/05/2021 23:56;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;
09/05/2021 23:56;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;
09/05/2021 23:56;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;
09/05/2021 23:56;b'@marzukialie_MA yg di sebut oleh tuan joko adalah bipang ambawang pak bukan jipang jadi bipang ambawang itu BABI PANGGANG \njangan suka motong.motong kalimat \nmotong kalimat enak banget kayak motong anggaran.BANSOS DAN ANGGARAN BLT';0;1,39E+18;ayulest98766599;0;Twitter for Android;0;[]
09/05/2021 23:56;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;
09/05/2021 23:55;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;
09/05/2021 23:55;b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp;;;;;;;
09/05/2021 23:55;b'RT @xosantoz: @henrysubiakto Apakah ini yg dimaksud Kriteria merusak NKRI prof..?? :\n\n1. Korupsi Bansos dll\n2. Hutang ugal2an\n3. Biasa ingk\xe2\x80\xa6';;1,39E+18;syarifptk;298;Twitter for Android;1;[]
