Tanggal;Banyak Retweet;Tweet;Terjemah
05/05/2021 00:00;0.0;halah kaget alat test manipulasi bansos korupsi harap perintah indonesia;i'm surprised that the social assistance manipulation test tool is corrupt, i hope indonesia's orders
05/05/2021 00:00;1977.0;terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k;explained that the witness charged with holding the ministry of social affairs invited a technical team for social assistance karaoke senayan as a gift k
05/05/2021 00:01;442.0;2 tangan sidik nama edar media singkir kpk;2 hands print media circulation name get rid of kpk
05/05/2021 00:01;467.0;hadap kpk mega korupsi bansos ekspor benih lobstersamin taipan;confronting kpk mega corruption, social assistance for exporting lobster seeds, tycoon
05/05/2021 00:01;1730.0;usaha sedia paket bansos fiktif emang laku korupsi bansos nyikat komisi;efforts to provide fictitious social assistance packages have indeed carried out social assistance corruption, tying commissions
05/05/2021 00:02;7.0;sedia barang bansos fiktif banget rakus harga di-mark up komisi embat jahat;there are really fictitious social assistance items that are greedy, the prices are marked up with bad commissions
05/05/2021 00:02;231.0;tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis;arrest madam bansos savekpkbambang widjojanto indications of kpk's tbsp running out
05/05/2021 00:03;4.0;rangkum bantu cair mei 2021 ayo pasti lumayan modal lebaran thari thari tunjanganhariraya bantuantunai bantu bantuan sosial bansos tukarpikiran;summarize the liquidated assistance in may 2021, come on, it must be quite a capital for eid today, hari raya allowances, cash assistance, social assistance, social assistance, brainstorming
05/05/2021 00:04;0.0;bacot doang bansos gimana harun masiku kabar otak pakai;just suck on social assistance, how about harun, i'm still saying that the brain uses it
05/05/2021 00:05;11.0;korupsi bansos itu receh pemprov dki mata bagak liat;social assistance corruption is a waste of money from the dki provincial government, the eyes are like seeing
05/05/2021 00:05;716.0;mahasiswa tagih janji kpk hukum mati koruptor bansos covid 19;students claim kpk's promise to death penalty for social assistance corruptors covid 19
05/05/2021 00:06;4.0;banget kamu bantu sosial bansos cair mei ayo simak info tarik sayang banget leewatkan ini bansos bantu bantuan sosial tukarpikiran blt bltcair;you really help social assistance social assistance liquid in may let's see the information about the pull it's a shame to miss this social assistance help social assistance brainstorming blt blt liquid
05/05/2021 00:06;3332.0;sidik bongkar korupsi kakap seperti e-ktapi simulator sim ekspor benur juga bansos bisa asn karena tidak l;fingerprints for unloading big corruption like e-kbut the sim simulator for fry export also social assistance can be used because it doesn't work
05/05/2021 00:08;4.0;banget kamu bantu sosial bansos cair mei ayo disi;you really help the social assistance liquid in may, come on, come on
05/05/2021 00:08;0.0;inul vista pake dana bansos;inul vista uses social assistance funds
05/05/2021 00:08;4.0;rangkum bantu cair mei 2021 ayo pasti lumayan b;summarize the liquidation in may 2021, come on, it's definitely pretty good
05/05/2021 00:09;79.0;potensi sdm kpk uji taruh nyawa untuk berantas korupsi;the potential of kpk's human resources puts their lives on the line to eradicate corruption
05/05/2021 00:10;0.0;kalau pake data bilang ekonomi buruk doi pilih pakai tren baik jiahahahahahahaha lihai tukang surpey nganggur bejibun pandemi nakut 2i bansos korup thari potong pake baik;if you use data, you say the economy is bad, do you choose to use good trends, jiahahahahahahaha, skilled, unemployed, and a lot of people who are afraid of the pandemic, 2i, social assistance is corrupt, cut it well
05/05/2021 00:11;0.0;justeru halu radikalisme khilafah tutup fakta bahaya korupsi bansos e-ktapi asabri jiwasraya korupsi libat partai dukung jokowi;in fact, the caliphate's radicalism has closed the facts on the dangers of corruption, social assistance e-ktapi asabri jiwasraya, corruption, involves parties supporting jokowi
05/05/2021 00:12;82.0;data ganda terima bansos 21 juta ambil data kpu milu 2019;double data received 21 million social assistance, took data from kpu milu 2019
05/05/2021 00:14;1.0;pdip partai raja korup madam bansos terus ideologi komunis ganti pancasila men;pdip, the corrupt king's party, madam bansos, continues to replace communist ideology with pancasila
05/05/2021 00:14;996.0;risma data ganda terima bansos bobrok kerja kader pdip juliari batubara salah er;risma double data received social assistance dilapidated work of pdip cadres juliari coal wrong error
05/05/2021 00:20;78.0;temu 21 data ganda terima bansos risma saran mundur mensos;meeting 21 double data received social assistance risma advice to resign from social minister
05/05/2021 00:26;197.0;a sidik senior tangan korupsi simulator sim bansos 2020 pada 2012 sidik korups;a senior fingerprint of corruption in the social assistance sim simulator 2020 in 2012 fingerprint of corruption
05/05/2021 00:26;0.0;formula e perkara angkat seperti  hilang harun masiku bansos mandeg nama hilang surat dakwa terang benerang;formula e for lifting cases such as missing harun masiku social assistance stagnates name missing indictment letter is clear
05/05/2021 00:28;68.0;sidik kpk tidak kendali hukum berantas korupsi us;kpk fingerprint does not control the law to fight corruption us
05/05/2021 00:29;0.0;21 juta data ganda alokasi dana bansos 21 juta data fiktif salur 31 5 t;21 million double data on social assistance fund allocation 21 million fictitious data channel 31 5 t
05/05/2021 00:42;0.0;orng korupsi bansos;social assistance corruption person
05/05/2021 00:45;0.0;madam bansos kabur niih  penyidik kpk duga pecat tangan korupsi kakap;madam bansos is running away, kpk investigators suspect that he fired big brother corruption
05/05/2021 00:47;79.0;duga singkir insan baik kpk tangan mega korupsi bumi pertiwi seperti bansos bi;guess get rid of good people kpk hands mega corruption of the motherland like social assistance bi
05/05/2021 00:47;0.0;tes wawasan bangsa korupsi bansos pandemia muas pejabatb peras rakyat;test of the nation's insight into corruption, social assistance, pandemic, satisfied officials squeeze the people
05/05/2021 00:54;0.0;buram kamu enak hidup vaksin gratis dapat bansos ya tidak ya nga;blurry, you enjoy living, free vaccines, get social assistance, yes, no, no, no
05/05/2021 00:54;1.0;freelancing sugih babi ngepet dsbcewek perkosa cowok disalahin ceweknyakorupsi uang;freelancing sucks pigs, etc., girls rape boys, girls blame them for money corruption
05/05/2021 00:55;;kader partai curi duit bansos sesuai kaidah agama sesuai pancasila impor beras garam tani padi  ;party cadres steal social assistance money according to religious rules according to pancasila, import rice, salt, rice farmers 
05/05/2021 00:55;60.0;kutip icw ketidakmauan boyong harun masiku proses hukum hilang nama politis dalam dakwa korupsi bansos lin;quote icw refusal to bring in harun masiku legal process lost political name in indictment of social assistance corruption lin
05/05/2021 00:57;0.0;madame bansos jangan 2 boss pimpin kepala banteng yaaa;madame bansos, don't have 2 bosses, lead the bull's head yaa
05/05/2021 00:59;248.0;lapor risma kpk 21 juta data terima bansos ganda tangan kp;report risma kpk 21 million data receive double-handed social assistance kp
05/05/2021 01:01;0.0;efek frustasi saking pandemi banyak berita korupsi bansos swab pakai alat bekas pakai oknum tidak tanggung tidak korelasi dengan pandemi ini bisa muak efek frustasi;frustrating effect because of the pandemic, there is a lot of news about corruption, social assistance, swab, using tools used by unscrupulous people, not correlated with this pandemic, can be fed up with frustrating effects
05/05/2021 01:01;9.0;menteri sri mulyani apbn anggar pulih ekonomi nasional;minister sri mulyani budget budget for national economic recovery
05/05/2021 01:05;0.0;pungli y lurah pegawai lurah y siih ko pecat lurahmya kalau menteri korupsi bansos pecat;extortion y lurah y lurah employee why fire the lurahmya if the minister of corruption, social assistance is fired
05/05/2021 01:07;0.0;seperti denger kalau korup dana bansos covid hukum mati ehem ayo tagih janji yukk;it's like hearing that the covid-19 social assistance fund is corrupt. ahem, let's make a promise, let's make a promise
05/05/2021 01:07;0.0;selamat jiwa tua covid utama guna antigen bekas utama wisatawan asing negeri utama juga potong dana bansos utama lagi seperti kaum elit utama;congratulations to the old soul of the main covid, using the main former antigens of foreign tourists, the main countries also cut the main social assistance funds again like the main elites
05/05/2021 01:10;;busuk kpk degil  ;rotten kpk stubborn 
05/05/2021 01:10;0.0;gerak cepat benar kalau coba sudah kalau korupsi bansos sama antigen bekas kwkw;move fast, right if you try it, if you have social assistance corruption with used antigens kwkw
05/05/2021 01:14;4.0;selamat pagi sahabatlapor jalan baru data padu sejahtera sosial dtks terima bansos;good morning friends, report new roads, solid data, social welfare, dtks, receive social assistance
05/05/2021 01:16;;kerja panitia ada barang  ;committee work there are items 
05/05/2021 01:17;0.0;bagi bansos dicuri a b tidak bangsat pilih a;for social assistance stolen ab no bastard choose a
05/05/2021 01:19;0.0;dah indonesia ngomongin covid saya tidak percaya bansos covid korup tega benar kuasa tega orang tidak itu maaf publik kamera tidak seperti artis ketangkep narkoba maaf kamera tumpul tumpul tumpul;indonesia is talking about covid, i don't believe in social assistance, covid is corrupt, has the heart to have the power to have the heart, people don't, sorry the public, the camera is not like an artist caught on drugs, sorry, the camera is blunt, blunt, blunt
05/05/2021 01:19;0.0;tangkap buzzer 2 bayar serta dedengkot bahaya nkri hukum mati libat korupsi bansos;catch buzzer 2 pay and dedengkot dangers of nkri, death penalty for involvement in social assistance corruption
05/05/2021 01:22;0.0;bansos ambil bang;take the social assistance
05/05/2021 01:22;0.0;halaahhh mega korupsi bansos doang fee formula e lebih bayar formula e lebih bayar usut saya dukung kpk skrng;halaahhh mega corruption of social assistance only fee formula e overpayment formula e overpayment investigate i support kpk now
05/05/2021 01:23;4.0;problem data problem utama seringkali sumber data beda data tenta;data problem the main problem is often the data source is different
05/05/2021 01:24;1.0;batak waras langsung diem juga kepingin lihat korupsi bansos cpt slsai tapi kpk lambat sekali kerja 2 sengaja lambat biar u sudut perintah;sane hobos immediately shut up and want to see the corruption of social assistance quickly finished but kpk is very slow to work 2 deliberately slow so you can get orders
05/05/2021 01:25;1.0;batak waras langsung diem juga kepingin lihat korupsi bansos cpt slsai tapi kpk lambat skali;sane hobos immediately shut up and want to see the corruption of social assistance quickly finished but kpk is so slow
05/05/2021 01:29;9.0;kalau 21 juta data ganda terima bansos lapor kpk bukti patut;if 21 million duplicate data receive social assistance, report to kpk, good evidence
05/05/2021 01:29;53.0;lolos tes wawasan bangsa;pass the national insight test
05/05/2021 01:34;43.0;allah ya pimpin seperti   tidak sempurna peduli sudah pas rakyat susah bansos;god, yes, lead like it's not perfect, it doesn't matter when the people are having a hard time with social assistance
05/05/2021 01:41;0.0;bahagia utang duit glontorkan bansos utang korupsi bayar rakyat eh korupsi ngomong usaha fiktif ujung 2 rakyat nanggung utang tidak apa-apa;happy, debt, money, distributes social assistance, debt, corruption, pays people, eh, corruption, talks about fictitious business, ends of 2, the people bear the debt, it's okay
05/05/2021 01:50;2.0;bansos korupsi klaim transparan 60 000 angka mati covid 19 politik;social assistance corruption claims transparent 60 000 death toll covid 19 politics
05/05/2021 01:52;0.0;maen api sih seperti bansos aman bos 2024 heheh;playing with fire is like social assistance, it's safe, boss 2024 heheh
05/05/2021 01:53;0.0;upaya jegal ungkap maling dana bansos misteri sang madam;an attempt to thwart uncovering the madam's mystery social assistance fund thief
05/05/2021 01:55;5.0;apbn peran sentral pulih ekonomi nasional cermin kerja apbn 2021 pada kuartal i realisasi bel;state budget plays a central role in recovering the national economy mirrors the work of the 2021 state budget in the first quarter of the realization of bel
05/05/2021 01:57;32.0;janji ngatur korupsi bansos korup;promise to manage corruption, social assistance corrupt
05/05/2021 02:04;0.0;korupsi 2 tuju politik korupsi bansos partai ideologi ideologi koruptor pancasila keluarga koruptor dampak korupsi tidak timbul takut koruptor hina teroris alamat opm;corruption 2 political goals corruption social assistance party ideology ideology of corruptors pancasila corrupt families the impact of corruption does not arise fear of corruptors insulting terrorists opm address
05/05/2021 02:04;0.0;kurang nyelewengin dana bansos hukum mati hemmm hemm heemm;not misappropriating social assistance funds, the death penalty
05/05/2021 02:09;25.0;tes bangsa variabel sok hak sendiri padahal korup bansos embat;the variable nation test pretends to be self-righteous even though the social assistance is corrupt
05/05/2021 02:11;0.0;didieu nagara kongo mh dana bansos ge di korup emang negara jahanam hahahah;didieu nagara congo mh the social assistance fund is corrupt, it's an evil country hahahah
05/05/2021 02:11;0.0;kerja perintah urus bansos;work orders for social assistance
05/05/2021 02:13;0.0;halah dki mulu kamu 2 seperti bansos jiwasraya asabri tj balai e ktapi kamu hanya benci sama anies tapi lihat jahat 2 koruptor senang iya dul;halah dki mulu you 2 are like social assistance jiwasraya asabri tj balai e but you only hate anies but see evil 2 corruptors are happy
05/05/2021 02:14;1.0;dijadiin komisi selamat koruptor kynya nie misi selamat madam bansos kroni;be made a commission for safe corruption, it seems like this is a safe mission for cronies social assistance madam
05/05/2021 02:14;0.0;maling bansos usak negara maling ayam maling malu jangan koruptor a l i n g;social assistance thief destroys the country, chicken thief, shame, don't be corrupt, aling
05/05/2021 02:14;0.0;ops yustisi salur paket bansos;ops justify channeling social assistance packages
05/05/2021 02:15;0.0;lucu bilang skandal korupsi bansos hahhahaaa masakan suap suap helowww terus mata lebih bayar damkar bayar bisa warung hitam 6000 meter 580 juta untuk 200 meter hahhaaa;it's funny to say that the social assistance corruption scandal hahhahaaa bribery bribery helowww continue to overpay the firefighters to pay for a black shop 6000 meters 580 million for 200 meters hahahahaha
05/05/2021 02:16;0.0;uang korupsi bansos copid di pake karokean tim kemensos;copid social assistance corruption money is used by the ministry of social affairs team's karokean
05/05/2021 02:17;0.0;bri ngotak asli sudah seperti sembako mungkin rame karena bansos perintah umkm bri;the original bri ngotak is like basic food, maybe it's crowded because of the social assistance ordered by umkm bri
05/05/2021 02:17;19.0;suku anak tagih janji risma bansos pks patah hati;the tribe of children collects the promise of risma bansos pks broken heart
05/05/2021 02:18;0.0;cek online daftar terima blt umkm banpres bpum bri bni banpres blt bansos bpum;check online accept list blt umkm banpres bpum bri bni banpres blt bansos bpum
05/05/2021 02:18;0.0;madam bansos aman ini min;madam social assistance is safe min
05/05/2021 02:19;0.0;kenal harun masiku madam bansos;know harun masiku madam bansos
05/05/2021 02:20;0.0;sebenernya korup dana bansos tuju mulia ya rul tidak cipta klaster;actually, the social assistance funds are corrupt for noble purposes, yes, rul didn't create clusters
05/05/2021 02:24;0.0;netizen bantu bansos mnt pecat;netizens help social assistance, please fire
05/05/2021 02:25;;yang terhormat tiga  ;dear three 
