Tanggal;Banyak Retweet;Tweet;Terjemah
09/05/2021 00:04;879.0;pegawai kpk lolos tes kabangsaan tangan korupsi bansos;kpk employees pass the social assistance corruption hand nationality test
09/05/2021 00:09;1.0;maksud tangan bansos dana covyd 19 dki 10 t;covyd 19 dki 10 t fund social assistance
09/05/2021 00:11;0.0;babi panggang itu haram garong uang bansos haram so bipang korup;roast pork is haram to steal social assistance money, so it's a bitch to be corrupt
09/05/2021 00:12;703.0;sila makna;please mean
09/05/2021 00:21;0.0;tangan korupsi bansos benur;benur social assistance corruption hand
09/05/2021 00:22;0.0;alih issue om paham modus utama tkaphk massal pengangguran manathari utang roket daya beli masyarakat turun tumbuh ekonomi minus korupsi rajalela bansos maling silah lanjut;issue transfer, om understands the main mode of mass arrests, unemployment, manathari, debt, rocket, people's purchasing power, declines, economic growth, minus corruption, rajalela, social assistance, thieves, please continue
09/05/2021 00:25;0.0;anak lurah madam bansos lurah kabar semoga umur abdi dajjal;the son of the village head, madam bansos, the village head, hopefully the age of the servant of the dajjal
09/05/2021 00:25;0.0;kadrun film kartun bolak harun masiku pki bansos tidak bahan olah kalau olah hoax neng seperti politikus busuk terus manfaat dungu;cartoon film cadrun, harun masiku, pki, social assistance, is not a matter of processing if it's a hoax, you're like a rotten politician and then using stupid things
09/05/2021 00:32;5.0;feeling saya sik tes wawasan bangsa untuk singkir sidik 2 fokus korupsi bansos;i have a feeling that the nation's insight test is to get rid of the 2 focus of social assistance corruption
09/05/2021 00:33;4.0;lebaran raya 2021 perintah presiden jokowi salur dana bantu sosial masyarakat butuh akses laman daftar terima bantu;eid al-fitr 2021, president joko widodo's order to distribute social assistance funds, the community needs access to the accept-aid list page
09/05/2021 00:35;4.0;lebaran raya 2021 perintah presiden jokowi salur dana bantu sosial masyarakat;eid al-fitr 2021 orders from president joko widodo to channel social assistance funds for the community
09/05/2021 00:37;3.0;iya benar audit mumpung orang hidup 1 tanah rs sumber waras 2 bus transjakarta 3 dana bansos lsm 4 5;yes, it's true, audit while people live 1 land, sumber sane hospital, 2 transjakarta buses, 3 ngo social assistance funds, 4 5
09/05/2021 00:38;4.0;pribumi larang mudik cina biar liar bansos rampok asabri garong puncak anjur beli babi panggang gila klen;the natives forbid going back to china to let the social assistance go wild
09/05/2021 00:39;0.0;balik korupsi uang bansos ciduk;behind the corruption of the social assistance money
09/05/2021 00:44;0.0;jangan menteri bansos ott yulianis misteri kenapa kpk berani sentuh ibas sidik bilang saya tolak bu komisioner teman  dtuturnya cerita cakap sidik kpk itu apakah jawab;don't be the minister for social assistance, ott yulianis, it's a mystery why kpk dared to touch ibas fingerprint, said i refused, mrs.
09/05/2021 00:44;4.0;pribumi larang mudik cina biar liar bansos rampok asabri garong puncakny;indigenous people forbid going back to china to let social assistance go wild and rob asabri to rob the peak
09/05/2021 00:47;0.0;ngomong kamu sama ember bu haji bocor dikit 2 taliban dikit nkri harga mati dikit 2 radikal radikul kamu partai bansos yah panteeesss pdi;talking about you and bu haji's bucket leaked a little bit 2 taliban a little bit nkri dead price a little 2 radicals radikul you are a social assistance party, panteeesss pdi
09/05/2021 00:48;0.0;gitu pesan madam bansos bahasa seleksi tidak lazim;that's the message from the social assistance madam, the selection language is not normal
