Tanggal;Screen Name;Source;Hashtags;Sentiment;Tweet;prediction
05/05/2021 00:00;akmal_wii;Twitter for Android;[];0;halah ga kaget alat test aja manipulasi bansos korupsi harap perintah indonesia;0
05/05/2021 00:00;pirmann___;Twitter for Android;[];0;terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k;0
05/05/2021 00:00;radityapinaruh;Twitter for Android;[];0;terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k;0
05/05/2021 00:01;Billi_Wijaya;Twitter for Android;[];0;salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan;0
05/05/2021 00:01;AriefHi64201710;Twitter for Android;[];0;salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan;0
05/05/2021 00:01;riskikky;Twitter for iPhone;[];0;usaha sedia paket bansos fiktif emang laku korupsi bansos udah nyikat komisi;0
05/05/2021 00:01;warnapanci;Twitter for Android;[];0;yg skrg sdg tangan sejumlah sidik yg nama edar media singkir dr kpk;0
05/05/2021 00:02;sakabato9;Twitter for Android;[];0;salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan;0
05/05/2021 00:02;zakira_kiro;Twitter for Android;[];0;sedia barang bansos fiktif banget rakus harga di-mark up komisi embat jahat;0
05/05/2021 00:02;Istiqom19235191;Twitter for Android;['SaveKPK'];0;tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis;0
05/05/2021 00:02;s2c3r;Twitter for Android;[];0;usaha sedia paket bansos fiktif emang laku korupsi bansos udah nyikat komisi;0
05/05/2021 00:02;ToniBoster21;Twitter for Android;[];0;usaha sedia paket bansos fiktif emang laku korupsi bansos udah nyikat komisi;0
05/05/2021 00:02;LawanHipokrit;Twitter for Android;[];0;yg skrg sdg tangan sejumlah sidik yg nama edar media singkir dr kpk;0
05/05/2021 00:03;pikiran_tukar;Twitter Web App;['THR', 'tunjanganhariraya', 'bantuantunai', 'bantuan', 'bantuansosial', 'bansos', 'tukarpikiran'];1;rangkum bantu cair mei ayo pasti lumayan loh modal lebaran thr thr tunjanganhariraya bantuantunai bantu bantuansosial bansos tukarpikiran;1
05/05/2021 00:03;R7ser;Twitter Web App;[];0;salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan;0
05/05/2021 00:03;warnapanci;Twitter for Android;[];0;salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan;0
05/05/2021 00:03;Deteye8;Twitter for Android;[];0;usaha sedia paket bansos fiktif emang laku korupsi bansos udah nyikat komisi;0
05/05/2021 00:04;AFaryz;Twitter for Android;[];0;bacot doang bansos gmn harun mas kabar otak pakai yg kau;0
05/05/2021 00:05;redywanjames;Twitter for Android;[];0;korupsi bansos tuh receh pemprov dki yg yg mata bagak ga liat;0
05/05/2021 00:05;YulisBudiasih;Twitter for Android;[];0;mahasiswa tagih janji kpk hukum mati koruptor bansos covid;0
05/05/2021 00:05;tegaxdirimu;Twitter for Android;[];0;salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan;0
05/05/2021 00:05;FalNdaru;Twitter for Android;['SaveKPK'];0;tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis;0
05/05/2021 00:05;Hinatassya;Twitter for Android;[];0;usaha sedia paket bansos fiktif emang laku korupsi bansos udah nyikat komisi;0
05/05/2021 00:06;pikiran_tukar;Twitter Web App;['bansos', 'bantuan', 'bantuansosial', 'tukarpikiran', 'BLT', 'BLTcair'];1;banget lo bantu sosial bansos cair mei ya ayo langsung simak info tarik sayang banget leewatkan ini bansos bantu bantuansosial tukarpikiran blt bltcair;1
05/05/2021 00:06;lebihpantas;Twitter for iPhone;[];0;sidik yg bongkar korupsi kakap spt e-ktp simulator sim ekspor benur jg bansos bisa jd asn krn tdk l;0
05/05/2021 00:06;haryazid;Twitter for Android;['SaveKPK'];0;tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis;0
05/05/2021 00:06;Fery49857895;Twitter for Android;['SaveKPK'];0;tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis;0
05/05/2021 00:07;gentanggentong2;Twitter for Android;[];0;salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan;0
05/05/2021 00:07;dindaeehh;Twitter for Android;[];0;usaha sedia paket bansos fiktif emang laku korupsi bansos udah nyikat komisi;0
05/05/2021 00:08;metamorfosa_co;Twitter for Android;[];1;banget lo bantu sosial bansos cair mei ya ayo langsung disi;1
05/05/2021 00:08;Febriandirfan;Twitter for iPhone;[];0;inul vista aja pake dana bansos;0
05/05/2021 00:08;tocakempong;Twitter for Android;[];0;mahasiswa tagih janji kpk hukum mati koruptor bansos covid;0
05/05/2021 00:08;metamorfosa_co;Twitter for Android;[];0;rangkum bantu cair mei ayo pasti lumayan loh;0
05/05/2021 00:08;goldenroses100;Twitter for iPhone;[];0;terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k;0
05/05/2021 00:09;FahmiYusup10;Twitter for Android;[];0;potensi sdm kpk yg uji taruh nyawa utk berantas korupsi;0
05/05/2021 00:09;Husaini_Yusuff;Twitter for Android;[];0;yg skrg sdg tangan sejumlah sidik yg nama edar media singkir dr kpk;0
05/05/2021 00:10;FalsSuara;Twitter for Android;[];0;klo pake data aja bilang ekonomi buruk doi pilih pakai tren baik jiahahahahahahaha lihai kang surpey yg nganggur bejibun pandemi nakuti bansos korup thr potong pake baik;0
05/05/2021 00:10;Binaone1;Twitter Web App;[];0;usaha sedia paket bansos fiktif emang laku korupsi bansos udah nyikat komisi;0
05/05/2021 00:11;menakdobol;Twitter for Android;[];0;justeru halu radikalisme khilafah tutup fakta bahaya korupsi bansos e-ktp asabri jiwasraya korupsi yg libat partai dukung jokowi;0
05/05/2021 00:11;iluvatar188;Twitter for Android;['SaveKPK'];0;tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis;0
05/05/2021 00:11;follow_sahabat;Twitter for Android;[];0;yg skrg sdg tangan sejumlah sidik yg nama edar media singkir dr kpk;0
05/05/2021 00:12;Riooanfer;Twitter for Android;[];1;banget lo bantu sosial bansos cair mei ya ayo langsung disi;1
05/05/2021 00:12;ArifulBahri;Twitter for iPhone;[];0;data ganda terima bansos juta ambil data kpu milu;0
05/05/2021 00:12;Riooanfer;Twitter for Android;[];0;rangkum bantu cair mei ayo pasti lumayan loh;0
05/05/2021 00:12;AdinaArjun;Twitter for Android;[];0;salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan;0
05/05/2021 00:12;azzahrah_maria;Twitter for Android;['SaveKPK'];0;tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis;0
05/05/2021 00:13;JalakHa23534860;Twitter for Android;['SaveKPK'];0;tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis;0
05/05/2021 00:14;Cahyadi_refa;Twitter for Android;[];0;pdip partai raja korup madam bansos terus ideologi komunis yg ganti pancasila yg men;0
05/05/2021 00:14;baaangp;Twitter for Android;[];0;risma data ganda terima bansos yg bobrok kerja kader pdip juliari batubara yg salah er;0
05/05/2021 00:14;Adudu7231;Twitter for Android;['SaveKPK'];0;tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis;0
05/05/2021 00:15;putraaawcksn;Twitter for Android;[];0;usaha sedia paket bansos fiktif emang laku korupsi bansos udah nyikat komisi;0
05/05/2021 00:16;rizal9973;Twitter for Android;[];0;salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan;0
05/05/2021 00:16;Fery49857895;Twitter for Android;[];0;salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan;0
05/05/2021 00:17;1qbalbagas;Twitter for Android;[];0;salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan;0
05/05/2021 00:17;ShowMen05;Twitter for Android;[];0;salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan;0
05/05/2021 00:17;rndaniah;Twitter for iPhone;[];0;sidik yg bongkar korupsi kakap spt e-ktp simulator sim ekspor benur jg bansos bisa jd asn krn tdk l;0
05/05/2021 00:17;kip13392274;Twitter for Android;['SaveKPK'];0;tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis;0
05/05/2021 00:18;Zack_1806;Twitter for Android;[];0;salah hadap kpk mega korupsi bansos ekspor benih lobstersamin tan taipan;0
05/05/2021 00:18;WandaAbdillah34;Twitter Web App;['SaveKPK'];0;tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis;0
05/05/2021 00:18;Cahyadi_refa;Twitter for Android;['SaveKPK'];0;tangkap madam bansos savekpkbambang widjojanto indikasi sdm kpk habis;0
05/05/2021 00:18;duduldulp;Twitter for Android;[];0;terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k;0
05/05/2021 00:18;tHoNk1031;Twitter for Android;[];0;yg skrg sdg tangan sejumlah sidik yg nama edar media singkir dr kpk;0
05/05/2021 00:19;fajarasn;Twitter for Android;[];0;terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k;0
05/05/2021 00:19;UnsuperMenn;Twitter Web App;[];0;terang saksi dakwa jabat kemensos ajak tim teknis bagi bansos karaoke senayan hadiah k;0
05/05/2021 00:19;zaenal_mustofa_;Twitter for Android;[];0;usaha sedia paket bansos fiktif emang laku korupsi bansos udah nyikat komisi;0
05/05/2021 00:20;syarifptk;Twitter for Android;[];0;temu data ganda terima bansos risma saran mundur mensos;0
05/05/2021 00:20;despu;Twitter for Android;[];0;yg skrg sdg tangan sejumlah sidik yg nama edar media singkir dr kpk;0
