Tanggal;Tweets;Dif;Sentiment;ID;Screen Name;Banyak Retweet;Source;Retweet Status;Hashtags
05/05/2021 00:03;b'Berikut ini sudah kami rangkum bantuan yang cair Mei 2021. Ayo segera pastikan kamu termasuk di antaranya. Lumayan loh bisa buat modal lebaran dan jadi semacam THR bukan?\n#THR #tunjanganhariraya #bantuantunai #bantuan #bantuansosial #bansos #tukarpikiran\nhttps://t.co/nWkTLWUmx4';4;1;1,39E+18;pikiran_tukar;4;Twitter Web App;0;['THR', 'tunjanganhariraya', 'bantuantunai', 'bantuan', 'bantuansosial', 'bansos', 'tukarpikiran']
05/05/2021 00:08;b'RT @pikiran_tukar: Berikut ini sudah kami rangkum bantuan yang cair Mei 2021. Ayo segera pastikan kamu termasuk di antaranya. Lumayan loh b\xe2\x80\xa6';4;1;1,39E+18;metamorfosa_co;4;Twitter for Android;1;[]
05/05/2021 00:08;b'RT @pikiran_tukar: Rupanya, banyak banget lo bantuan sosial (bansos) yang cair bulan Mei ini. Kira-kira apa saja ya? Ayo langsung saja disi\xe2\x80\xa6';4;1;1,39E+18;metamorfosa_co;4;Twitter for Android;1;[]
05/05/2021 01:22;b'@juragan67304626 @Nasduk14 Bansos udah di ambil bang??';4;1;1,39E+18;penghobi_tidur;0;Twitter for Android;0;[]
05/05/2021 02:14;b'OPS  Yustisi Penyaluran Paket Bansos https://t.co/LDoKp923rQ';4;1;1,39E+18;AlianHumas;0;Twitter for Android;0;[]
05/05/2021 02:17;b'BRI ga ngotak asli udh kyak bagi sembako.\nMungkin rame karna bansos dr pemerintah untuk UMKM lewat BRI';4;1;1,39E+18;ariehrynt;0;Twitter for Android;0;[]
05/05/2021 02:18;b'Cara dapat dan cek online daftar penerima BLT UMKM atau Banpres BPUM BRI dan BNI.\n#Banpres #BLT #Bansos #BPUM \n\nhttps://t.co/hDC5YIbkWl';4;1;1,39E+18;berita_diy;0;Twitter Web App;0;['Banpres', 'BLT', 'Bansos', 'BPUM']
05/05/2021 02:27;b'@jodohkamuuh Akhirnya Bisa Temui Bos Bumiputera, Nasabah Dijanjikan Klaim Cair November 2020\n\nsemoga semua cepet selesai ya \njiwasraya,bansos,bpjs,bakrie life,kresna life\n\nhttps://t.co/FWH8jBZ2WI';4;1;1,39E+18;KuswonoMulya;0;TweetDeck;0;[]
05/05/2021 03:08;b'Untuk menggenjot daya beli dan konsumsi masyarakat saat lebaran tahun ini, pemerintah akan mempercepat pencairan bansos di bulan Mei ini. Dengarkan #KabarSiangRampati bersama Ayu RK untuk informasi bantuan sosial apa saja yang akan cair. https://t.co/59hsI0PrPP';4;1;1,39E+18;ramapati__pas;0;Twitter for Android;0;['KabarSiangRampati']
05/05/2021 04:45;b'BKTM REJOMULYO AIPDA BUSTANUL ARIFIN\nPemantauan dan Monitoring Penyaluran Bansos Sahabat tahap I untuk  Kel.Rejomulyo https://t.co/yPlcvJERlC';4;1;1,39E+18;polsekkdrkota;0;Twitter for Android;0;[]
