Tanggal,Tweets,Sentiment,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags
06/05/2021 07:45,"b""@adeweee_ Bansos ga berlaku buat orang yang ansos :')""",0.0,"1,39E+18",adekiil,0.0,Twitter for Android,0.0,[]
06/05/2021 14:25,"b""@Bams44421380 @aik_arif Tp hubungan antara asumsi 'kentitan bansos' dengan bahaya gelombang kedua covid19 apa?""",0.0,"1,39E+18",ngimpikau,0.0,Twitter for Android,0.0,[]
07/05/2021 03:47,"b""@bangZhack86 Ada ini, da.\nSurat terbuka kepada Madam Bansos dari Aliansi Mahasiswa. Entah mo dikirim pas 20 Mei atau ngga' tapi dah beredar. \xf0\x9f\xa4\xb7 https://t.co/DOLdtdo15I""",0.0,"1,39E+18",ayah_neisha,0.0,Twitter for Android,0.0,[]
06/05/2021 06:47,"b""@geloraco Ada kata cebong si anak madam bansos.\npemimpin yg mirip umar itu jka sholat jum'atnya smpe 4 raka'at &amp",0.0,,,,,,
09/05/2021 13:53,"b""@henrysubiakto O gitu pak ?! Jd yg \n- tdk korupsi dana bansos +++\n- bayar pajak \n- tdk memeras P'sila\n- membela agama kami, krn agama kami di sudutkan trs. \n- dipecat (PHK) \nMenurut bpk tdk waras ya ? Baiklah pak, trm ksh. Semoga Allah membalas kebaikan bpk.""",0.0,"1,39E+18",fa_fenani,0.0,Twitter for Android,0.0,[]
05/05/2021 22:27,"b""@hipohan Apakah si madam (maling dana masyarakat) bansos ini baca cuitan kita ya?\nBantu dong sampaikan ke do'i.""",0.0,"1,39E+18",yuesefa,1.0,Twitter for Android,0.0,[]
07/05/2021 03:35,"b""@jokowi \nAssalamu'alaikum warahmatullahi wabaro katu,\nSelamat pagi, terkait dengan program pemerintah pusat mengenai dana Bansos, dana Covid19 UMKN  JKNkis dan lain lain.  Yang menyangkut pemulihan ekonomi rakyat,  mohon di evaluasi ulang, karena program tersebut tidak pernah ada""",0.0,"1,39E+18",SugengR41532008,0.0,Twitter for Android,0.0,[]
10/05/2021 05:38,"b""@kurawa Saya bang @kurawa lulusan sarjana susah cari pkerjaan aplgi sjk adanya pandemi covid19, saya juga sdh daftar program kartu prakerja dari gelombang 1-16 tpi tidak pernah lolos seleksi sdg kerabat saya daftar sekali lgsung lolos pdhl kluarganya p'nerima bansos https://t.co/QBerKJKTfA""",0.0,"1,39E+18",Anggitfriadika,0.0,Twitter Web App,0.0,[]
07/05/2021 13:29,"b""@tunanganjefri @AREAJULID WKWKWK 'BANSOS AJA DISUAP'""",0.0,"1,39E+18",orangimud,0.0,Twitter for Android,0.0,[]
08/05/2021 07:53,"b""Ada yg gini ada yg foya2 pake uang korupsi abis 'capek' bagiin bansos \xf0\x9f\x98\x9e\xf0\x9f\x98\x9e\xf0\x9f\x98\x9e\xf0\x9f\x98\x9e https://t.co/zhTViDNqUg""",0.0,"1,39E+18",triggggred,0.0,Twitter for iPhone,0.0,[]
06/05/2021 21:47,"b""Berita TERKINI N6ERIPOL ! KPK DIGERUDUK, TANGKAP 'MADAM' DALANG K0RUPSI BANSOS ! Tonton video lengkapnya : https://t.co/PxGmzfF5Pl""",0.0,"1,39E+18",651Safa,1.0,IFTTT,0.0,[]
09/05/2021 05:48,"b""Berita TERKINI TERKUAK ! KPK 'DIBUNUUH' ISTANA TANGANI K0RUPSI BANSOS &amp",0.0,,,,,,
06/05/2021 05:32,"b""Cak Kartolo memainkan ludruk 'Tumpeng Maut', di Yogyakarta ada 'sate maut', sedangkan di Jakarta ada korupsi bansos yang membuat rakyat sakaratulmaut. #CakAbror https://t.co/QXu3MsYDZh""",0.0,"1,39E+18",jpnncom,0.0,JPNN News Update,0.0,['CakAbror']
11/05/2021 14:47,"b""Di Palestina, batu menjadi 'sabda kebenaran'. Palestina tidak punya senjata lain kecuali batu. Batu sangat ditakuti Yahudi di zaman modern ini.\n\nDi Wakanda, ada kawanan berhati batu. Merampok bansos fakir miskin. Menenggelamkan 75 ksatria 'batu sandungan'.\n\nSama-sama batu.""",0.0,"1,39E+18",faqihaddien,0.0,Twitter for Android,0.0,[]
10/05/2021 10:38,"b""Dirjen Kemensos Bantah Terima 'Fee' Bansos Corona, Tapi Dapat Cincin Akik dan Brompton: Pepen menyebut Adi Wahyono membayarkan Rp50 juta untuk cincin akik-nya seharga Rp60 juta. https://t.co/I5nq8wjksD""",0.0,"1,39E+18",merdekadotcom,0.0,dlvr.it,0.0,[]
10/05/2021 09:01,"b""Dirjen Linjamsos Akui Juliari 'Potek' Rp10.000 per Paket Bansos https://t.co/iKVcibuaK5""",0.0,"1,39E+18",Bisniscom,1.0,dlvr.it,0.0,[]
05/05/2021 14:17,"b""Disaat rakyat mudik sebelum waktunya diberita, dikatakan mencuri (maling) star mudik\n\nBolehkah? Saat ambil bansos sebelum dibagikan dikatakan mencuri (maling) bansos\n\nLebih bahaya mana sich mencuri star mudik apa mencuri bansos?\n\nPara pengibul di\nCerita dongeng ka'chung""",0.0,"1,39E+18",Parlan1,0.0,Twitter for Android,0.0,[]
05/05/2021 07:09,"b""https://t.co/aV9ZVPMeKv\n\nRR: 'Lengkap skenario perampokan bansos yang merupakan hak orang miskin itu. Ini skandal jahat yang memalukan' @RamliRizal""",0.0,"1,39E+18",Bicaralahdotcom,36.0,Twitter Web App,0.0,[]
08/05/2021 03:29,"b""Lain Bu Tejo lain pula Bu Romlah. Kalau Bu Tejo ribut ngomongin tetangga, ini Bu Romlah ribut ngomongin bansos PKH. Padahal Bu Romlah hidupnya udah berkecukupan,  Penasaran dengan ceritanya? Yukkk simak film pendek komedi berjudul 'Curhat Minta Bansos'. \nhttps://t.co/4RLVGTuvhV""",0.0,"1,39E+18",LinjamsosOke,2.0,Twitter for Android,0.0,[]
07/05/2021 04:11,"b'""Menurut Mbak Risma ke KPK, data 21 juta penerima Bansos bodong atau fiktif. Ternyata perusahaan2 penyalur Bansos juga banyak yg abal2. Lengkap skenario perampokan Bansos hak orang miskin itu,"" cuit Rizal Ramli\xc2\xa0\nhttps://t.co/MAntlcqBuh'",0.0,"1,39E+18",soeyoto1,95.0,Twitter for Android,0.0,[]
07/05/2021 07:28,"b""Namanya juga Bansos, banca'an Sosialita https://t.co/lI9OxHE48E""",0.0,"1,39E+18",GueChokY,0.0,Twitter for Android,0.0,[]
11/05/2021 22:26,"b""Novel baswedan 74 resmi di nonaktifkan, targetan ott selanjut'a Kasus bansos hilang :) \n\n#novelbaswedan https://t.co/gyXjTBdInz""",0.0,"1,39E+18",bogor_santuy,0.0,Twitter for Android,0.0,['novelbaswedan']
08/05/2021 21:58,"b'""Oh, A Wibi teh kerjanya jadi wartawan?\nSuka ke sekolah-sekolah sama ke kelurahan/desa gitu atuh?\nKalo dana BOS cair, bansos cair, wartawan suka dateng biasanya kan.""\n\nBodrek, bodrek... https://t.co/4uqk2gb4xQ'",0.0,"1,39E+18",wbpratama,0.0,Twitter for Android,0.0,[]
05/05/2021 15:36,"b""Pertanyaan wawasan kebangsaan untuk Ketua @KPK_RI\n\nPertama \nSebutkan satu saja tokoh Radikal yang juga Koruptor, Koruptor Bansos dan Koruptor Rapid Test Antigen bekas? \n\nKedua\nSebutkan sepuluh Napi Koruptor yang tidak Radikal, sekaligus riya' Pancasila? https://t.co/fJFYdCso2A""",0.0,"1,39E+18",_Banyoe,3.0,Twitter for Android,0.0,[]
06/05/2021 21:52,"b""RT @651Safa: Berita TERKINI N6ERIPOL ! KPK DIGERUDUK, TANGKAP 'MADAM' DALANG K0RUPSI BANSOS ! Tonton video lengkapnya : https://t.co/PxGmzf\xe2\x80\xa6""",0.0,"1,39E+18",bayu_ichszan,1.0,Twitter Web App,1.0,[]
09/05/2021 06:03,"b""RT @651Safa: Berita TERKINI TERKUAK ! KPK 'DIBUNUUH' ISTANA TANGANI K0RUPSI BANSOS &amp",0.0,,,,,,
09/05/2021 06:00,"b""RT @651Safa: Berita TERKINI TERKUAK ! KPK 'DIBUNUUH' ISTANA TANGANI K0RUPSI BANSOS &amp",0.0,,,,,,
05/05/2021 11:43,"b""RT @Bicaralahdotcom: https://t.co/aV9ZVPMeKv\n\nRR: 'Lengkap skenario perampokan bansos yang merupakan hak orang miskin itu. Ini skandal jaha\xe2\x80\xa6""",0.0,"1,39E+18",sipooer,36.0,Twitter for Android,1.0,[]
